Name,Author,Stars,Price
Clean Code,Robert C. Martin,4.5,26.56
The Legend of Zelda,Shigeru Miyamoto,4.5,27.56
"Don't Make Me Think, Revisited",Steve Krug,4,23.03
"Godel, Escher, Bach",Douglas R. Hofstadter,4.5,16.37
Superintelligence,Nick Bostrom,4,9.93
"Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,4.5,29.93
Cracking the Coding Interview,Gayle Laakmann McDowell,4.5,33.99
The Internet is a Playground,David Thorne,4,15.09
DanTDM: Trayaurus and the Enchanted Crystal,DanTDM,4.5,14.93
Life 3.0,Max Tegmark,4,10
